timestamp,time,price,volume
34200858089401,09:30:00.858,5.3100,10
36085006092661,10:01:25.006,5.5000,4
36094104489003,10:01:34.104,5.5200,96
57502038388644,15:58:22.038,5.4150,100
57595685949950,15:59:55.685,5.4000,100
57600206741219,16:00:00.206,5.4000,1
