timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,20.2500,20.3500,20.1900,20.2700,16820,13
34500,09:35:00,20.3000,20.3000,20.2600,20.2800,254,8
34800,09:40:00,20.3000,20.3500,20.2900,20.2900,1673,22
35100,09:45:00,20.2800,20.3000,20.2400,20.2400,734,15
35400,09:50:00,20.2200,20.2400,20.2100,20.2400,602,7
35700,09:55:00,20.2400,20.2400,20.1800,20.1900,15294,37
36000,10:00:00,20.1800,20.1800,20.0100,20.0400,2631,29
36300,10:05:00,20.0600,20.1600,20.0200,20.1200,3179,38
36600,10:10:00,20.1400,20.1900,20.1000,20.1900,2901,26
36900,10:15:00,20.1900,20.2000,20.1900,20.2000,559,9
37200,10:20:00,20.2000,20.2200,20.2000,20.2000,552,8
37500,10:25:00,20.1800,20.2000,20.1800,20.2000,440,10
37800,10:30:00,20.2000,20.2200,20.1900,20.2000,1267,28
38100,10:35:00,20.2000,20.2000,20.1900,20.1900,307,9
38400,10:40:00,20.2000,20.2400,20.2000,20.2400,311,7
38700,10:45:00,20.2400,20.2400,20.2000,20.2000,504,9
39000,10:50:00,20.2000,20.2000,20.1900,20.1900,627,15
39300,10:55:00,20.1900,20.2000,20.1700,20.1700,975,26
39600,11:00:00,20.1500,20.1700,20.1100,20.1700,3709,29
39900,11:05:00,20.1700,20.1900,20.1600,20.1700,1067,20
40200,11:10:00,20.1800,20.1800,20.1600,20.1600,506,9
40500,11:15:00,20.1400,20.1400,20.1300,20.1300,405,12
40800,11:20:00,20.1400,20.1400,20.1200,20.1200,6,4
41100,11:25:00,20.1200,20.1300,20.1200,20.1300,618,11
41400,11:30:00,20.1300,20.1400,20.1300,20.1300,377,9
41700,11:35:00,20.1300,20.1400,20.0900,20.1400,2664,39
42000,11:40:00,20.1500,20.1900,20.1500,20.1800,1123,19
42300,11:45:00,20.1900,20.2600,20.1800,20.2600,2004,24
42600,11:50:00,20.2600,20.2800,20.2600,20.2800,679,13
42900,11:55:00,20.2800,20.3200,20.2600,20.3200,1810,23
43200,12:00:00,20.3200,20.3200,20.2850,20.3000,1175,19
43500,12:05:00,20.2900,20.3000,20.2900,20.3000,201,3
43800,12:10:00,20.3200,20.3200,20.3000,20.3000,307,10
44100,12:15:00,20.3200,20.3500,20.3100,20.3500,859,19
44400,12:20:00,20.3500,20.4000,20.3500,20.4000,2112,25
44700,12:25:00,20.4000,20.4100,20.4000,20.4100,1755,23
45000,12:30:00,20.4000,20.4000,20.3300,20.3300,666,15
45300,12:35:00,20.3300,20.3300,20.3200,20.3300,1205,25
45600,12:40:00,20.3300,20.3400,20.3100,20.3100,1006,16
45900,12:45:00,20.3100,20.3200,20.3100,20.3200,302,7
46200,12:50:00,20.3200,20.3400,20.3200,20.3400,664,11
46500,12:55:00,20.3400,20.3400,20.3400,20.3400,7,6
46800,13:00:00,20.3400,20.4000,20.3400,20.3900,4972,57
47100,13:05:00,20.4000,20.4000,20.3850,20.4000,1050,17
47400,13:10:00,20.4100,20.4100,20.4000,20.4100,1146,13
47700,13:15:00,20.4100,20.4100,20.4000,20.4000,295,8
48000,13:20:00,20.3950,20.4000,20.3500,20.3800,4044,47
48300,13:25:00,20.3900,20.4000,20.3800,20.4000,603,9
48600,13:30:00,20.4000,20.4200,20.4000,20.4200,968,21
48900,13:35:00,20.4200,20.4400,20.4200,20.4400,595,15
49200,13:40:00,20.4400,20.4400,20.4200,20.4300,325,11
49500,13:45:00,20.4300,20.4300,20.4200,20.4200,410,10
49800,13:50:00,20.4200,20.4300,20.4200,20.4200,838,16
50100,13:55:00,20.4300,20.4300,20.4000,20.4000,639,15
50400,14:00:00,20.4000,20.4500,20.4000,20.4500,3169,32
50700,14:05:00,20.4600,20.5100,20.4600,20.4900,4391,38
51000,14:10:00,20.5000,20.5300,20.5000,20.5300,902,18
51300,14:15:00,20.5100,20.5300,20.4900,20.5100,3175,54
51600,14:20:00,20.5000,20.5300,20.5000,20.5000,602,17
51900,14:25:00,20.5000,20.5000,20.4600,20.4600,452,8
52200,14:30:00,20.4500,20.4500,20.4300,20.4400,1783,32
52500,14:35:00,20.4500,20.5000,20.4500,20.4600,2945,48
52800,14:40:00,20.4500,20.4500,20.4300,20.4400,1933,29
53100,14:45:00,20.4400,20.5000,20.4400,20.4900,1288,20
53400,14:50:00,20.4900,20.5300,20.4900,20.5100,629,18
53700,14:55:00,20.5000,20.5300,19.4300,19.4300,60755,444
54000,15:00:00,19.5700,19.6600,18.8700,18.8700,91287,774
54300,15:05:00,18.9100,19.3000,18.2100,18.3200,106959,778
54600,15:10:00,18.3300,18.6500,18.1900,18.5400,103162,645
54900,15:15:00,18.5500,18.5500,17.7200,17.9300,120291,768
55200,15:20:00,17.9200,18.3500,17.0600,17.6000,150368,587
55500,15:25:00,17.6100,17.9600,17.5900,17.9600,28748,297
55800,15:30:00,17.9500,18.1400,17.9500,18.1200,43391,358
56100,15:35:00,18.1100,18.2700,17.9900,18.0400,24026,240
56400,15:40:00,18.0100,18.0500,17.7800,17.9700,24775,246
56700,15:45:00,17.9750,18.1800,17.9650,17.9900,33772,270
57000,15:50:00,18.0050,18.1500,18.0000,18.1100,16523,155
57300,15:55:00,18.1150,18.2700,18.1150,18.2200,86732,550
57600,16:00:00,18.2200,18.2200,18.2200,18.2200,196932,1
